State,City,Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
West Bengal,Kolkata,Ganguram,Rajarhat,Fried Sweets,Moong Laddu (10 Pcs),90.0,4.8,11
Himachal Pradesh,Shimla,Tara Bhojanalya,Shilli,Main Course,Paneer Khumb,299.0,0.0,0
Tripura,Agartala,Domino's Pizza,Dom_Only_Agartala,Chicken Feast,Saucy Boneless Chicken - Peri Peri,189.0,0.0,0
Maharashtra,Mumbai,Chinese Wok,Hawares Centurion,Extra Dip & Crispy Noodles,Extra Momo Chutney,20.0,4.1,1
Delhi,New Delhi,Burger King,Rohini,Exclusive Deals (Save upto 40%),Double Crispy Veg + Double Crispy Veg.,198.0,4.2,163
Rajasthan,Jaipur,McDonald's,Malviya Nagar,Deal Of The Day,McAloo Tikki Meal,234.29,4.4,77
Punjab,Chandigarh,Bansal Amritsari Kulcha,Sector 5 MDC Panchkula,Recommended,Chur Chur,129.0,5.0,4
Meghalaya,Shillong,Lamee,Police Bazar,Mixed Chow,Chinese Chop suey,515.0,5.0,18
Nagaland,Kohima,Crescent International Hotel,Old NST,Appetizers and Gravy Chinese,Veg Manchurian Dry,229.0,3.8,4
Tamil Nadu,Chennai,Dou,Nungambakkam,Croissants,Croissant,195.0,4.3,2
Karnataka,Bengaluru,Baskin Robbins - Ice Cream Desserts,Sarjapur Road,Freshly Scooped Tubs,Banana 'N Strawberry Ice Cream (Tub),357.0,0.0,0
Delhi,New Delhi,Hira Sweets,Indirapuram,Prasadam,Rajsthani Ladoo (4 Ps),114.29,4.6,11
Jharkhand,Ranchi,The Bewakoof Hotel,Khelgaon,Indian Main Course Egg,Egg-do-pyaja,199.0,0.0,0
Rajasthan,Jaipur,Starbucks Coffee,C Scheme,Recommended,Spinach & Corn Sandwich,255.0,0.0,0
Assam,Guwahati,Dum Safar Biryani,UDESHNA,Beverages,Coolberg Non Alcoholic Beer -Malt (330 Ml),99.0,0.0,0
West Bengal,Kolkata,KFC,Dumdum,FLAT 179 SPECIAL MEALS/BUCKET,1 Hot & Crispy with Medium Fries,214.29,4.0,22
Himachal Pradesh,Shimla,Mini Friends Corner,"Anand Complex, The Mall, Solan",Soup,Sweet Corn Mushroom Soup,80.0,0.0,0
Maharashtra,Mumbai,McDonald's,Nerul,Burgers & Wraps,Mexican McAloo Tikki Burger NONG.,75.0,4.3,2
Uttar Pradesh,Lucknow,Burger King,Aliganj,Exclusive Deals (Save upto 40%),Crispy Chicken + Crunchy Chicken Taco.,218.0,4.2,80
Manipur,Imphal,FIKA,Ghari,Rice & Noodles,Noodles - Chicken ,228.0,4.0,18
Jharkhand,Ranchi,Shree Gangaur,Jai Prakash Nagar,Cookies,Almond Tasty (250 gms),221.0,0.0,0
Madhya Pradesh,Indore,Oven Story Pizza,SAKET SQUARE,Special Medium Pizza,Bbq Chicken Pizza (Serves 2),479.0,4.0,1
Haryana,Gurgaon,Burger King,Maitra Complex,Value Meals (Save Upto 47%),Crispy Chicken Meal.,284.0,3.8,13
Tamil Nadu,Chennai,LunchBox - Meals and Thalis,Navalur,Beverages,Jeera Masala Soda (350 mL),57.0,4.8,6
Telangana,Hyderabad,Harley's Fine Baking,Lingampally & Nallagandla,Harley's Signature Medovik Pastry,American Almond Coffee Medovik With Macaron,285.0,2.2,4
Rajasthan,Jaipur,McDonald's,Civil Lines,What’s New,Small McFlurry Choco Caramel*,103.81,4.7,2
Delhi,New Delhi,McDonald's,Greenfields_FBD,McCafe.,     Vietnamese Iced Coffee,125.0,4.7,3
Odisha,Bhubaneswar,Classic 11,Patia,Regular,Chicken noodles in schezwan sauce,120.0,0.0,0
Delhi,New Delhi,Donald's Pastry Shop,Raj Nagar,Recommended,Belgian Choco Mousse Cake Slice Eggless,150.0,4.3,35
Odisha,Bhubaneswar,KFC,Darghabazar,PERI PERI CHICKEN STRIPS & LEG PC (UP TO 25% OFF),Peri Peri Chicken Strips - 6 Pc,319.0,4.1,33
Assam,Guwahati,KFC,Borbari,Recommended,Gold Edition - Chicken Zinger Burger & Fries,329.0,4.1,25
Manipur,Imphal,Dreams Cafe,Khurai,Recommended,M Veg Pizza,260.0,3.7,10
Tripura,Agartala,Suruchi,HGB Road,Roti,Alo ke parathe,65.0,0.0,0
Punjab,Chandigarh,Cheesecakes By CakeZone,Sector 24,Pastry,Red Velvet Cheesecake Slice,279.0,4.8,3
Maharashtra,Mumbai,Mani's Cafe,Airoli,South Indian,Mayo mysore sada dosa,140.0,4.1,2
Karnataka,Bengaluru,McDonald's,Bannerghatta Road,Protein Plus and Burgers with Millet Bun,McSpicy Premium Burger Veg Protein Plus (2 Slices),307.0,0.0,0
Tamil Nadu,Chennai,McDonald's,Nehru Nagar,McSaver Combos (2 Pc Meals),McVeggie Burger + Fries (M),215.23,4.7,298
Haryana,Gurgaon,Big Bowl,Sector 37,Drinks,Aam Panna,99.0,0.0,0
Assam,Guwahati,Domino's Pizza,Jatia,Cheese Burst - 3 New Flavours,Spiced Double Chicken Pizza,368.0,4.3,19
Karnataka,Bengaluru,Polar Bear,Kanakapura Road,Death by Chocolate Sundaes,Classic Death By Chocolate,242.0,4.5,0
Manipur,Imphal,Food Zilla,Moirangkhom,Food Zillas Special,Honey Chicken,200.0,4.8,10
Uttarakhand,Dehradun,Tree Cafe And Restaurants,Raipur,Indian (Non Veg) Cuisin,Chicken tikka masala [boneless],385.0,0.0,0
Uttarakhand,Dehradun,Green Chilly,Bidholi,Non Veg Staters,Smoke chicken,160.0,0.0,0
Karnataka,Bengaluru,Home Plate by EatFit,Electronic City,Rumali Roti Thali (New),"Egg Masala, Dal Makhani, Rumali Roti Thali",221.0,0.0,0
Bihar,Patna,Elite Family Choice Restaurant,Hajipur,Noodles,Veg Singapuri Chowmein,260.0,0.0,0
Jharkhand,Ranchi,Gangaur Govindam,Khelgaon,Refreshments,Lassi,160.0,0.0,0
Karnataka,Bengaluru,"Faasos - Wraps, Rolls & Shawarma",Whitefield,Newly Launched,4 Baked Margherita Pizza Wraps at 145 each,579.0,0.0,0
Gujarat,Ahmedabad,KFC,Prahlad Nagar,Friendship Day Epic Deals (upto Rs 256 off),Forever Fam Chicken Leg Bucket,899.0,4.7,2
Mizoram,Aizawl,Emerald 3:14,Khatla,Sandwiches,Grilled Chicken Cheese Sandwich,130.0,3.5,5
Nagaland,Kohima,Domino's Pizza,Kohima Locality,Chicken Feast,Chicken Platter for 2-Peri Peri Dip,499.0,0.0,0
Assam,Guwahati,Food Exx, BIRKUCHI,Fried Rice & Noodles,Veg Hakka Chowmein,190.0,0.0,0
Bihar,Patna,Grill Inn,Hajipur,Starters,Tandoori Grilled,429.0,0.0,0
Haryana,Gurgaon,KFC,Najafgarh,All Day Lunch Special Meal Box,Rice Box Meal,399.0,3.6,13
Tamil Nadu,Chennai,Arusuvai Cafe,OMR Navalur,Evening Special Menu,Set Dosai Vadacurry(2 Pcs),120.0,4.0,27
Karnataka,Bengaluru,Bowl Soul,Electronic City,All Day Breakfast,Powerhouse Breakfast,199.0,3.3,1
Tamil Nadu,Chennai,KFC,Poonamallee,Burgers,Zinger Pro Burger & Popcorn Meal,469.0,4.8,14
Gujarat,Ahmedabad,Nini's Kitchen,Sola,Desserts,Kesar Pista Ice Cream,95.0,4.9,1
Delhi,New Delhi,Prime Bakery & Sweets,Sector 76,Sweets,Chote Gulab Jamun Desi Ghee,149.0,4.8,57
Tamil Nadu,Chennai,Sweet Truth - Cake and Desserts,Poonamallee,Recommended,Chocolate Cheesecake Slice.,199.0,0.0,0
Odisha,Bhubaneswar,Scholars,Jagmohan Nagar,Mushroom Main Course,Mushroom Hydrabadi,229.0,4.6,111
West Bengal,Kolkata,Olio - The Wood Fired Pizzeria,Kalindi Housing,House Special Garlic Breads!,Creamy Spinach & Mushroom Garlic Bread,239.0,4.3,36
Chhattisgarh,Raipur,Pastas By Pizza Hut,Magneto The Mall,Pastas,Tomato Twist Red Sauce Pasta,169.0,3.7,2
Karnataka,Bengaluru,Shiv Sagar,Anekal,Fruit Salad,Fruit salad ,171.0,3.6,16
Maharashtra,Mumbai,McDonald's,Dombivli East,Burgers & Wraps,McCheese Burger Veg,264.76,4.0,227
Chhattisgarh,Raipur,Ramdev's Khana Khazana,Shankar Nagar,Sabziyaan,Paneer Lucknavi (250 Gms),220.0,4.7,6
Uttarakhand,Dehradun,Green Chilly,Bidholi,Rice,Egg hong kong firned rice,100.0,0.0,0
Gujarat,Ahmedabad,Burger Farm,Ghatlodia,Gourmet Series (Non Veg),Big Fried Chicken Meal,364.2,0.0,0
Jharkhand,Ranchi,Dum Safar Biryani,CIRCULAR RD,Curries And Breads,Mutton Rogan Josh,499.0,0.0,0
Madhya Pradesh,Indore,LunchBox - Meals and Thalis,Sudama Nagar,Rumali Roti Lunchbox,Paneer Lababdar Rumali Roti Lunchbox,339.0,0.0,0
Punjab,Chandigarh,Domino's Pizza,Phase 10 Mohali,Loaded Pizza,Veggie Paradise Pizza,279.0,4.5,48
Meghalaya,Shillong,Hotel Heiga,Dhankheti,Mocktails,Milk Shake Chocolate,396.0,0.0,0
Uttar Pradesh,Lucknow,LunchBox - Meals and Thalis,Aliganj,Beverages,Lemon Ice Tea (250 mL),59.0,0.0,0
Meghalaya,Shillong,The Phoenix Residency,Nongthymmai Nongkhyriem,Salad & Raita,Onion Raita,90.0,3.7,24
Assam,Guwahati,Red Chilly's - Spirits N Spices,Jalukbari,Dal,Dal Makhani,200.0,0.0,0
Telangana,Hyderabad,Pizza Hut,Uppal,Recommended,Classic Onion Capsicum,109.0,4.4,203
Goa,Panaji,Wow! Momo,Anjuna,Chilli Momo,Chicken Himalayan Chilli Momo,225.0,3.8,12
Rajasthan,Jaipur,Cloud Kitchen,Vidhyadhar Nagar,Thali,Special Dal Bati Thali,349.0,0.0,0
Punjab,Chandigarh,Veg Meals by Lunchbox,Panchkula,Rumali Roti Lunchbox,Pindi Chole with Rumali Roti Lunchbox,249.0,0.0,0
Gujarat,Ahmedabad,Sante Spa Cuisine,Bodakdev,Homemade Soups,House Style Pearl Barley Broth,340.0,0.0,0
West Bengal,Kolkata,Veg Meals by Lunchbox,Thakurpukur,Recommended,Paneer Lababdar Chapati Lunchbox,289.0,0.0,0
Karnataka,Bengaluru,Hotel Annalakshmi,Yelahanka,Breakfast Bestsellers,Idly ( 3 Nos )                           ,80.0,4.6,0
Meghalaya,Shillong,Mithaas,MES,North Indian,Matar Paneer,360.0,4.8,6
Manipur,Imphal,Dreams Cafe,Khurai,Recommended,Chicken 65,230.0,4.0,4
Gujarat,Ahmedabad,Faasos' Signature Wraps & Rolls,Prahlad Nagar,Newly Launched,Chimichurri Paneer Salad Burger Wrap.,239.0,0.0,0
Madhya Pradesh,Indore,INDIAN COFFEE HOUSE,Dewas City,Snacks,Onion Dosa,156.0,0.0,0
Tamil Nadu,Chennai,Ss Hyderabad Biryani,Sriperumbudur,Veg Varieties,Paneer 65,270.0,4.3,6
Gujarat,Ahmedabad,McDonald's,Prahlad Nagar,Burger Combos ( 3 Pc Meals ),McVeggie Double Patty Burger Combo,320.0,4.8,6
Uttar Pradesh,Lucknow,Olio - The Wood Fired Pizzeria,GOMTI NAGAR,Dips,Pizza Chilli Oil,30.0,5.0,3
Jharkhand,Ranchi,Pizza Hut,Lalpur,Pastas + 2 PC Plain Garlic Bread,Cosy Comfort White Sauce Chicken Pasta + 2 PC Plain Garlic Bread,269.0,0.0,0
Karnataka,Bengaluru,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Gobi 65,195.0,3.6,43
Rajasthan,Jaipur,Sodhani Sweets,Pink City,Ghewar,Ghewar Meetha,285.71,4.2,301
Chhattisgarh,Raipur,MP's Kitchen,Purena,Main Course,Shahi Paneer,359.0,0.0,0
Uttar Pradesh,Lucknow,La Pino'z Pizza,Indira Nagar,DOTD,Lovers Bite Pizza Regular,225.0,5.0,3
Meghalaya,Shillong,Kim Pou Restaurent,Police Bazar,Boba & Shakrs,Vanilla Shake,270.0,0.0,0
Chhattisgarh,Raipur,LunchBox - Meals and Thalis,Govind Nagar,Beverages,Thums Up Can (330 mL),66.5,3.9,9
Tripura,Agartala,Cafe Coffee Day,HGB Road,Hot Coffee Selections,Cappuccino,229.0,4.7,16
Karnataka,Bengaluru,ITC Master Chef Creations,Doddathogur Village,Beverages,Gulab Scented Meethi Lassi,197.0,3.7,33
Tamil Nadu,Chennai,McDonald's,Anna Nagar,Coffee & Beverages (Hot and Cold),Mint Lime Cooler,103.0,4.0,1
Gujarat,Ahmedabad,McDonald's,Satyamev Shivalik,Burger Combos ( 3 Pc Meals ),Chicken McNuggets 6 Pcs Combo,348.56,2.7,8
Madhya Pradesh,Indore,Sweet Truth - Cake and Desserts,SAKET SQUARE,Party Combos,Choco Chip Pastry + Choco Lava Cake Combo,179.0,4.8,3
Manipur,Imphal,Poirei Com Cake Shop,Majorkhul,Recommended,Butterscotch Cake        ,400.0,0.0,0
Punjab,Chandigarh,Wow! Momo,Sector 67 Mohali,Wow! Kulfi  Dessert,Stick Kulfi Malai Regular,69.0,0.0,0
Punjab,Chandigarh,KFC,Phase 9 Mohali,Friendship Day Epic Deals (upto Rs 256 off),Classic Chicken Roll Buddy Meal,499.0,0.0,0
Himachal Pradesh,Shimla,McDonald's,Tehsil Shimla,Double Patty Burgers & Meals,McAloo Tikki Burger® Double patty,98.0,4.4,67
Nagaland,Kohima,Crescent International Hotel,Old NST,Indian Flavoured Rice,Navatran Pulao,349.0,0.0,0
Telangana,Hyderabad,Bikanervala,aramghar,Bakery,Biscuit Atta Patti Gur 250g Desi Ghee,216.1,0.0,0
Rajasthan,Jaipur,Dip N Bite,Jagatpura,Healthy Food,Peanut Masala,141.9,3.2,1
Maharashtra,Mumbai,BK Cafe,Thane Hiranandani Estate,Hot Beverages,Americano (Regular),189.0,0.0,0
Karnataka,Bengaluru,Sweet Truth - Cake and Desserts,Whitefield,Recommended,Tiramisu Cheesecake Slice.,199.0,0.0,0
Jharkhand,Ranchi,Jashn The Restaurant,Purulia Road,Non Veg Main Course ,Jashn- E- Khas Chicken Gravy(2 Leg Pcs. & 6 Pcs. Of Boneless Chicken Tikka),519.0,4.7,21
Madhya Pradesh,Indore,Baskin Robbins - Ice Cream Desserts,Khatiwala,Value Scoops,Hershey's Kisses Caramel Ice Cream (Small Scoop),110.0,0.0,0
Delhi,New Delhi,LunchBox - Meals and Thalis,Sector 59 Noida,Kulcha Lunchbox,Palak Paneer Bread Kulcha Lunchbox,269.0,4.9,13
Punjab,Chandigarh,Goila Butter Chicken,Panchkula,Late Night Veg,Classic Paneer Tikka.,359.0,0.0,0
Telangana,Hyderabad,Makhani Darbar,PEERZADIGUDA,Recommended,Mutton Kefta Biryani (Boneless) + Thums Up Toofani Combo,329.0,0.0,0
Himachal Pradesh,Shimla,Grits N Gravy,Mall Road Solan,Veg Snacks,Cheese Chilli ,210.0,3.0,21
Telangana,Hyderabad,LunchBox - Meals and Thalis,Manikonda,Executive Lunchbox,Smoked Butter Chicken Jumbo Lunchbox,409.0,3.8,4
Punjab,Chandigarh,Captain Sam's Pizza,Sector 40,Premium Pizza Regular,Hawaiian Pizza ( 7 Inch),249.0,4.0,80
Delhi,New Delhi,Domino's Pizza,Pratap Vihar,Loaded Pizza,Veggie Paradise Pizza,279.0,4.4,77
Karnataka,Bengaluru,Bowl Soul,Electronic City,All Day Breakfast,Creamy Eggs n Chicken Brekkie,249.0,0.0,0
Sikkim,Gangtok,New Parivar Restaurant,Gangtok,Chinese,Veg fried rice ,248.0,3.3,5
Karnataka,Bengaluru,Pizza Hut,Kanakapura Road,Veg Pizza,Margherita,169.0,3.8,63
Karnataka,Bengaluru,Theobroma,Whitefield,Recommended,Eggless Rich Chocolate Cake [500g],625.0,4.7,44
Tamil Nadu,Chennai,Meat and Eat,Poonamallee,Pizza,Fried Chicken Poppers Pizza,355.0,0.0,0
Gujarat,Ahmedabad,Burger Farm,Ghatlodia,Exclusive Combo,Farm Aloo Tikki + Regular Fries,173.0,0.0,0
Odisha,Bhubaneswar,Shreelal Food Plaza,Khandagiri,Recommended,Mix Veg,195.0,4.8,216
Himachal Pradesh,Shimla,Ice & Spice,Solan Town,Tandoori,Cheese Achari Tikka,310.0,0.0,0
Telangana,Hyderabad,LunchBox - Meals and Thalis,Manikonda,Stuffed Paratha Lunchbox,Aloo Paratha & Dal Makhani,239.0,0.0,0
Telangana,Hyderabad,Veg Meals by Lunchbox,Hafeezpet,Kulcha Lunchbox,Pindi Chole with Kulcha Lunchbox,209.0,4.7,3
Maharashtra,Mumbai,Chinese Wok,Hawares Centurion,Recommended,Hunan Paneer Dry - Full,359.0,4.4,1
Tamil Nadu,Chennai,Dou,Nungambakkam,Breakfast,Spanish Tortilla Bacon,625.0,0.0,0
Jammu and Kashmir,Srinagar,Lhasa Restaurant,Boulevard,Tibetian,Veg Kohtieh,280.0,0.0,0
Uttarakhand,Dehradun,Burger King,Dehradun,Exclusive Deals (Save upto 40%),"2 BK Veggie Burgers,",278.0,4.2,12
Rajasthan,Jaipur,McDonald's,Malviya Nagar,Double Patty Burgers & Meals,Filet O Fish® Double patty Burger,334.29,5.0,45
Maharashtra,Mumbai,Shiv Sagar Veg Restaurant,Thane West,"Roti, Naan, Paratha & Kulcha",Butter Garlic Naan,145.0,3.8,25
Karnataka,Bengaluru,McDonald's,Yelahanka,Protein Plus and Burgers with Millet Bun,McVeggie Burger Protein Plus (2 Slices),215.03,0.0,0
Kerala,Kochi,Supreme Upper Crust,Vyttila,South Indian,Mutton Curry,520.0,3.1,4
Manipur,Imphal,Chindam Cafe,Lamphel,Chindam Specials,Singapuri fried rice,190.0,0.0,0
Telangana,Hyderabad,Cafe Coffee Day,Miyapur,Refreshing Quenchers,Cucumber Mint Mojito,289.0,4.6,1
Karnataka,Bengaluru,LunchBox - Meals and Thalis,Gunjur Village,Paratha Lunchbox,Rajma and Paratha Lunchbox,199.0,3.9,18
Punjab,Chandigarh,Costa Coffee,Chandigarh,Sandwiches & Rolls,Vegetable Junglee Multigrain Panini Sandwich.,325.0,0.0,0
West Bengal,Kolkata,Hindusthan Sweets,New Town,Cookies & More,Salted Cookies,195.0,4.8,2
Uttarakhand,Dehradun,Kite Restaurant,Doiwala,Breakfast,Omelette with toast,168.0,0.0,0
Mizoram,Aizawl,The Sweet Cafe,Aizawl,Noodles,Chicken Noodles,150.0,0.0,0
Delhi,New Delhi,Pikwik Since 1991,Rohini,Chicken Chinese Main Course,Chicken In Szechwan Sauce,530.0,0.0,0
Meghalaya,Shillong,Mithaas,Demseiniong,Breakfast,Chole Bhature,210.0,3.4,10
Tamil Nadu,Chennai,Copper Kitchen,Chromepet,Soups,Manchow Veg Soup,190.0,4.5,14
Karnataka,Bengaluru,Burger King,Kaikondrahalli,Recommended,Crispy Veg Double Patty Burger,99.0,4.2,0
Tamil Nadu,Chennai,McDonald's,Nazarathpettai,Mexican Range & New Offerings,Mc Crispy Chicken Burger + McChicken Burger + Fries (M).,430.47,4.3,2
Rajasthan,Jaipur,McDonald's,Malviya Nagar,McCrispy Range, Crispy Veggie Burger*,196.19,4.2,34
Delhi,New Delhi,Chaayos Chai+Snacks=Relax,Sector 15,Recommended,Desi Chai with Upma,308.0,4.8,11
Kerala,Kochi,I Deli Cafe,Kaloor,Dosa,Healthy Cherupayar Dosa,188.0,4.7,53
Delhi,New Delhi,McDonald's,Raj Nagar,Wraps,Egg Wrap,102.0,4.3,20
Maharashtra,Mumbai,Edesia by Freshmenu,THANE,Sandwiches,Homestyle Chicken Whole Wheat Sandwich,239.0,4.2,3
Tamil Nadu,Chennai,Sweet Truth - Cake and Desserts,Poonamallee,Indian Desserts,Gulab Jamun Box (Pack of 10),315.0,0.0,0
Nagaland,Kohima,Crescent International Hotel,Old NST,Non Veg Fried Rice,Szechuan Mixed Non Veg Fried Rice,289.0,0.0,0
Nagaland,Kohima,Crescent International Hotel,Old NST,Biryani,Mutton Biryani,399.0,4.1,31
Karnataka,Bengaluru,KFC,Sarjapur Road,BURGERS,Paneer Zinger Burger,219.0,4.1,11
Tamil Nadu,Chennai,Burger King,Chrompet,Korean Spicy Fest(Limited Time Only),Korean Spicy Paneer Burger.,299.0,0.0,0
West Bengal,Kolkata,Hanglaatherium,RAJPUR-SONARPUR MUNICIPALITY,Indian Bread,Plain Paratha,65.0,4.2,73
Jharkhand,Ranchi,KFC,Lalpur,Recommended,Thai Spicy Roll & Popcorn Chicken Meal,319.0,4.3,5
Himachal Pradesh,Shimla,Mayur Hotel & Restaurant,Mall Road Solan,Breakfast,Boiled (2 Eggs),79.0,0.0,0
Karnataka,Bengaluru,Srinidhi Sagar Deluxe,Kengeri,Fresh Fruit Juice,Fresh Lime Soda,91.0,4.5,18
Himachal Pradesh,Shimla,New Chanakya,Mall Road Solan,Tandoor Se,Paneer Bhujiya,310.0,0.0,0
Odisha,Bhubaneswar,Classic 11,Patia,Starters,Chilli paneer,135.0,0.0,0
Tamil Nadu,Chennai,"Faasos - Wraps, Rolls & Shawarma",Poonamallee,Newly Launched,Jalapeno Cheese Paneer Burger Wrap.,249.0,4.6,20
Meghalaya,Shillong,Bread Cafe,Police Bazar,Confectionery Cake,Caramel Cake,850.0,3.4,7
Delhi,New Delhi,Subway,Gaur City 1,Recommended,Spicy Chicken Craver (10cm),169.0,2.9,6
Delhi,New Delhi,McDonald's,Ghaziabad,Burgers and Wraps,Pizza  McPuff®,49.0,4.6,0
Maharashtra,Mumbai,Hola Pasta - Fresh Gourmet Pasta,Nerul,Chicken Starters,Smoked BBQ Chicken Wings [6 Pcs],229.0,5.0,4
Telangana,Hyderabad,Hotel Shubham Palace - Dhanturi Group of Hotels,Nanakramguda,Namekeen,Banana Chips 250Gms,159.0,0.0,0
Odisha,Bhubaneswar,KFC,Patrapada,BURGERS,Gold Edition - Veg Zinger Burger,239.0,4.4,2
Punjab,Chandigarh,Faasos Signature Wraps & Rolls,Panchkula,Oven Baked Wraps,Smoky Diced Paneer Salad Wrap (Crispy Bake),239.0,0.0,0
Jharkhand,Ranchi,Wooden Spoon Restaurant,Khelgaon,Veg Chinese Starters,Veg bullett,228.0,0.0,0
Maharashtra,Mumbai,Kamats Legacy,Vashi,Dosa,Mysore Dosa,210.0,4.4,7
Chhattisgarh,Raipur,The Good Bowl,Govind Nagar,Mini Bowls,Dal Makhani Mini Rice Bowl,169.0,4.7,20
Maharashtra,Mumbai,McDonald's,Dombivli East,McSaver Combos (2 Pc Meals),McChicken Burger + Fries (L),250.47,4.5,105
Madhya Pradesh,Indore,McDonald's Gourmet Burger Collection,Transport Nagar,Group Sharing Combos,2 Crispy Veggie Burger  + 2 Fries (M) + Veg Pizza McPuff,604.76,0.0,0
Mizoram,Aizawl,Domino's Pizza,Only_Dominos_Aizawl,Loaded Pizza,Veg Extravaganza Pizza,379.0,4.8,3
Delhi,New Delhi,Oven Story Pizza,Dwarka,Super Saver Deals,Lasagne+Starter (Veg),369.0,0.0,0
Jammu and Kashmir,Srinagar,Pizza Hut,Rajbagh,Flash Sale Pizzas,Royal Spice Chicken Thin n Crispy Pizza,949.0,0.0,0
Delhi,New Delhi,KFC,Dwarka,Epic Savings Bucket for 3-4 (up to 32% off),All in One Chicken Bucket,579.05,4.7,13
West Bengal,Kolkata,Veg Meals by Lunchbox,Thakurpukur,Desserts,Blueberry Cheesecake,199.0,0.0,0
West Bengal,Kolkata,Keventers - Milkshakes & Desserts,Rajarhat,Signature Cold Coffees,Classic Cold Coffee,219.0,4.7,105
Gujarat,Ahmedabad,McDonald's,Ghatlodia,McSaver Combos (2 Pc Meals),Mc Crispy Chicken Burger + McAloo Tikki,290.47,0.0,0
Karnataka,Bengaluru,McDonald's,Sarjapur-Marathahalli Road,Protein Plus and Burgers with Millet Bun,McSpicy Premium Chicken Protein Plus + 4 Pc Chicken Nugget + Coke Zero,479.0,0.0,0
Gujarat,Ahmedabad,Vadilal Ice Creams,Prahlad Nagar,Recommended,Chocolate Chips Ice Cream Cake (500 Ml),254.24,4.7,193
Uttar Pradesh,Lucknow,LunchBox - Meals and Thalis,Aliganj,Chapati Lunchbox,Smoked Butter Chicken & Chapati Lunchbox,309.0,4.3,10
Odisha,Bhubaneswar,Odiani Hotel & Restaurant,Nayapalli,Thali,Pohala Thali,318.0,0.0,0
Punjab,Chandigarh,Street 9,Kalka,Recommended,Aloo Tikki Burger,60.0,3.4,14
Punjab,Chandigarh,The Belgian Waffle Co.,Sector 66A,Recommended,Nutella Overload,280.0,0.0,0
Haryana,Gurgaon,Olio - The Wood Fired Pizzeria,Lado Sarai,Recommended,Fiery Jalapeno & Paprika Pizza,269.0,0.0,0
Goa,Panaji,Appetite Classic,Mapusa,Goan Thalis,Veg Thali,240.0,3.6,10
West Bengal,Kolkata,South Indian Coffee House,Behala,Sada Dosa,Butter Coconut Sada Dosa,176.0,5.0,6
Telangana,Hyderabad,Third Wave Coffee,Sainikpuri,Matcha,Strawberry Matcha Latte,280.0,2.8,3
Tripura,Agartala,Sherowali Restaurant And Cafe,Shankar Chowmuhani,Thali,Chinese Special Thali,299.0,4.3,18
Jharkhand,Ranchi,Shri Bhog Rasoi Dhaba,Khelgaon,Dal Tarka Maar Ke,Yellow dal,160.0,0.0,0
Mizoram,Aizawl,Crown Restaurant,Temple,Starter,Chicken dry fry,390.0,0.0,0
Uttar Pradesh,Lucknow,Mahalaxmi Sweets & Restaurant,Aliganj,Chinese Starters,Baby Corn Stick Chilli,399.0,4.9,1
